,Reacher-v10_seed_0,Reacher-v20_seed_0,Reacher-v30_seed_0,Reacher-v40_seed_0,Reacher-v50_seed_0,Reacher-v10_seed_1,Reacher-v20_seed_1,Reacher-v30_seed_1,Reacher-v40_seed_1,Reacher-v50_seed_1,Reacher-v10_seed_2,Reacher-v20_seed_2,Reacher-v30_seed_2,Reacher-v40_seed_2,Reacher-v50_seed_2
122,-104.3085,-196.64941,-221.80365,-251.4987,-212.56355,-84.51406,-183.01964,-203.86403,-252.59448,-213.32988,-101.42807,-156.75406,-188.30634,-216.14037,-302.16806
123,-101.837364,-133.12866,-168.27739,-228.9308,-186.06989,-93.18184,-161.92181,-231.4819,-192.03802,-223.23747,-80.285774,-150.99281,-162.17819,-233.32399,-211.31833
124,-114.618515,-145.1429,-202.87871,-225.72777,-211.4745,-85.9463,-165.13156,-162.88551,-207.53503,-186.85815,-109.03991,-137.34734,-221.04555,-171.00774,-215.28615
125,-108.96456,-114.8652,-148.50552,-318.1226,-230.163,-100.41585,-207.39993,-170.28906,-181.98769,-259.18344,-104.575096,-179.09894,-199.1769,-234.01448,-195.71365
126,-119.68065,-153.99605,-205.02792,-247.63736,-295.29553,-120.82951,-115.95091,-225.01717,-178.64513,-305.6224,-129.85231,-144.01353,-150.57895,-190.71756,-210.46349
127,-90.79135,-133.61397,-193.81435,-158.27109,-257.60202,-104.31218,-194.13379,-165.43839,-140.60419,-213.48042,-111.12551,-150.47783,-209.80243,-213.43698,-246.19438
128,-111.56003,-165.614,-172.27708,-210.97774,-229.78815,-115.59934,-173.06802,-228.56204,-277.0369,-219.40216,-101.12471,-119.89111,-274.0941,-274.81296,-238.18942
129,-100.91005,-167.96373,-157.51483,-235.40852,-253.1553,-119.23642,-169.96765,-208.16216,-177.86464,-215.90385,-79.59746,-154.9524,-212.77373,-182.7063,-277.75098
130,-104.46772,-180.22139,-213.99089,-229.65837,-235.64447,-115.20639,-96.847916,-177.5731,-214.75441,-225.25598,-118.92778,-172.95493,-200.28236,-212.5423,-268.363
131,-120.0461,-134.80591,-172.44115,-227.63893,-213.91394,-94.78665,-173.65657,-237.66074,-211.94046,-223.3958,-129.67232,-153.37074,-187.65884,-171.66968,-245.27559
132,-115.46765,-104.90321,-172.13481,-193.73877,-285.76184,-120.548836,-129.28296,-193.76747,-174.99759,-256.9017,-126.262764,-155.38081,-180.9026,-216.73062,-193.0084
133,-111.03717,-182.6542,-261.75357,-231.0758,-292.9663,-72.87713,-131.70271,-162.46513,-218.40651,-260.50665,-92.74894,-183.44234,-170.67003,-181.2803,-313.94092
134,-77.4811,-103.47679,-179.71649,-258.98993,-237.63821,-68.88016,-117.248474,-210.32445,-180.2393,-208.89728,-117.40003,-141.76155,-210.70055,-229.38719,-213.282
135,-81.7703,-132.33401,-172.45213,-172.12312,-204.46465,-98.27423,-156.4186,-150.84857,-251.54102,-232.43636,-89.89214,-125.00418,-169.28316,-226.01817,-200.82497
136,-90.64269,-111.23704,-244.51712,-176.57808,-199.12708,-121.09443,-148.4155,-177.85342,-226.69565,-254.6048,-103.33422,-148.4646,-165.5234,-222.35233,-205.25133
137,-89.94565,-198.27353,-263.67163,-156.53728,-204.53656,-118.44202,-179.95389,-174.53423,-238.50108,-298.2352,-120.46806,-191.66145,-213.05388,-286.18423,-220.90799
138,-104.149574,-164.01712,-157.27235,-173.80801,-241.97896,-95.72586,-142.58102,-159.0344,-196.46657,-257.2313,-123.66687,-165.35849,-195.25914,-231.0156,-249.87967
139,-58.061287,-114.74518,-161.78598,-211.27351,-254.20235,-88.253204,-198.14247,-185.61714,-224.58461,-221.32089,-123.67273,-118.20565,-227.39412,-277.85535,-248.67886
140,-62.979614,-141.40134,-207.81319,-203.08914,-211.55463,-105.00678,-152.02808,-199.88783,-188.41591,-199.78647,-86.9653,-173.52235,-174.07457,-226.53491,-238.41658
141,-68.766624,-107.59505,-239.13713,-197.97849,-264.73953,-121.18061,-193.15237,-219.23477,-199.34875,-239.3971,-125.705925,-141.57178,-228.79141,-244.19254,-240.69058
