,Reacher-v10_seed_0,Reacher-v20_seed_0,Reacher-v30_seed_0,Reacher-v40_seed_0,Reacher-v50_seed_0,Reacher-v10_seed_1,Reacher-v20_seed_1,Reacher-v30_seed_1,Reacher-v40_seed_1,Reacher-v50_seed_1,Reacher-v10_seed_2,Reacher-v20_seed_2,Reacher-v30_seed_2,Reacher-v40_seed_2,Reacher-v50_seed_2
116,-125.1701,-196.86679,-169.21771,-290.1967,-239.5862,-143.63759,-182.28069,-216.7124,-239.29903,-302.57047,-120.69104,-161.31544,-245.31413,-205.64081,-322.88165
117,-134.23334,-146.7627,-156.4144,-259.25058,-308.15305,-148.15742,-190.3125,-207.35857,-227.8463,-331.0735,-118.59277,-144.9672,-187.91083,-241.17668,-238.65114
118,-122.68484,-149.61389,-154.9894,-228.93445,-232.65,-150.7239,-188.04803,-182.9029,-224.78906,-299.08542,-141.52348,-153.39003,-190.47144,-295.41592,-256.0772
119,-119.178696,-159.87175,-197.4229,-206.48418,-239.14386,-157.57985,-163.60861,-247.05772,-238.54971,-302.21753,-118.185295,-148.13565,-160.93027,-201.68333,-280.2343
120,-130.25081,-185.63782,-242.35617,-265.79803,-210.73636,-154.44476,-208.6184,-238.51282,-290.22543,-303.14944,-143.96886,-154.2397,-237.63582,-200.15945,-219.52989
121,-118.74181,-131.41281,-214.73349,-228.03836,-261.19785,-166.67838,-187.95383,-230.31102,-277.20328,-346.78665,-133.81604,-159.64113,-184.70172,-262.78308,-235.85547
122,-123.117714,-200.10498,-223.28166,-255.79306,-230.6436,-155.65466,-172.2288,-215.08795,-314.5157,-318.56702,-124.977,-136.6787,-202.26796,-174.24991,-267.1997
123,-123.1522,-182.0662,-187.48158,-310.8585,-249.1819,-165.61136,-177.71942,-198.40523,-255.16093,-299.4169,-118.13825,-136.94264,-196.18872,-251.78806,-238.54504
124,-131.78745,-185.38782,-193.07597,-203.6345,-232.27208,-155.4219,-159.22523,-208.39534,-228.00978,-342.45178,-128.77933,-162.07257,-198.2606,-188.05045,-224.66246
125,-116.12882,-194.62956,-191.6299,-294.41882,-237.75003,-163.60162,-200.11792,-207.57668,-242.93976,-387.94153,-125.76787,-171.99599,-208.47331,-234.2067,-226.00021
126,-123.278656,-148.76819,-216.8654,-266.18726,-342.71277,-143.90193,-163.11038,-177.86673,-236.72356,-356.05722,-124.220215,-155.8012,-204.5046,-196.88403,-196.73427
127,-130.35863,-167.62578,-248.41434,-211.39378,-213.31415,-159.34517,-200.19597,-196.03215,-223.25046,-308.93222,-126.134796,-180.86209,-190.19415,-196.64323,-237.30768
128,-126.47534,-179.54977,-177.45935,-236.72647,-212.0156,-161.12886,-165.12195,-213.61002,-256.87228,-301.58185,-130.21442,-152.5568,-212.71637,-243.28088,-220.36266
129,-143.29977,-175.87642,-204.17853,-251.57018,-231.77728,-140.0992,-203.459,-201.39374,-248.83781,-294.3327,-106.77794,-161.596,-192.03526,-239.15547,-245.45067
130,-133.01263,-189.78688,-188.83784,-211.85738,-240.8991,-144.58072,-169.5455,-175.94443,-280.8735,-259.20404,-112.73084,-138.5527,-184.91083,-222.79051,-263.92435
131,-130.04388,-135.3104,-264.3351,-229.83382,-261.5986,-139.4608,-203.81271,-214.92175,-256.58035,-344.7145,-95.54261,-134.31955,-181.92432,-201.8415,-239.98535
132,-121.34636,-185.72015,-181.16568,-192.28268,-260.38898,-149.37984,-202.2247,-221.08257,-222.864,-341.7095,-127.14197,-175.84348,-187.98659,-258.08572,-209.99109
133,-129.19675,-149.9795,-222.63373,-269.22623,-279.98483,-156.15524,-175.91228,-175.73083,-243.86842,-282.13806,-139.47917,-164.3727,-184.3731,-216.37575,-279.72113
134,-128.8413,-167.49431,-208.15533,-216.79854,-239.14435,-151.12015,-138.5788,-182.7675,-210.83302,-291.84888,-119.58796,-133.33804,-223.27835,-267.77643,-193.14763
135,-118.81981,-155.2909,-177.6535,-214.92085,-205.71523,-148.29228,-174.39384,-188.06085,-228.93654,-368.89447,-123.142845,-118.86102,-153.4013,-201.78903,-217.56827
136,-129.08316,-178.62042,-240.1999,-221.45389,-237.49332,-128.33885,-192.34772,-192.59477,-238.64714,-309.4518,-106.95536,-153.7663,-169.93826,-194.31308,-203.63383
137,-129.79158,-180.9537,-208.10687,-246.3679,-221.27051,-138.67036,-173.56648,-207.59058,-249.48433,-375.0285,-120.78699,-155.91522,-161.82251,-279.4596,-217.15697
138,-123.32506,-161.94817,-176.16829,-182.91426,-233.58109,-140.68648,-145.28697,-180.72119,-239.71495,-326.71542,-129.22633,-130.81252,-167.63695,-243.73218,-256.3769
139,-123.40743,-182.13202,-208.01562,-263.44467,-259.07373,-133.27461,-194.09132,-204.81439,-221.35918,-263.31827,-118.16549,-132.8275,-227.43169,-260.221,-217.28217
140,-119.9711,-150.74504,-211.38362,-189.73747,-225.34245,-137.29991,-158.2332,-196.7219,-243.9156,-268.9084,-128.30853,-163.12718,-205.21248,-280.2561,-214.03958
